longitude,latitude,SOC,Slope,Biomass,Precipitation,TPI,Temperature,NPP,SolarRadiation,WindSpeed,SinAspect,CosAspect,hex_id,foldID
265838.1486,832138.2484,0.636666667,-0.600454887,-0.101745959,1.789481252,0.043118034,1.911852856,2.86364807,0.170424006,-0.496668485,0.571805625,-1.255234064,3472,1
265841.638,832014.9103,0.604,-0.600454887,-0.101745959,1.789481252,0.043118034,1.911852856,2.86364807,0.170424006,-0.496668485,0.571805625,-1.255234064,3472,1
2035169.556,2336264.516,10.49333333,-0.41848162,1.361107525,1.08940112,0.272964111,0.017042565,2.836618618,-0.911198984,3.111737925,-1.034767522,-0.961842862,5799,5
1370841.298,1044784.127,2.848,-0.599182733,1.247203714,1.101861581,-0.016120592,1.887617095,2.802423812,0.069262444,1.265803931,-1.294043974,0.649241572,4926,4
2112285.666,2395275.685,0.219,-0.50329343,2.156483649,0.824905381,0.267152041,0.008254998,2.785756692,-1.336545009,2.895958043,1.225726968,-0.658020548,5932,5
1351351.368,993003.0141,1.64,-0.58749754,2.836137181,1.21874351,0.04334186,1.85864586,2.760448789,0.182870189,0.985402413,-1.411432347,0.317731526,4892,3
-2108794.826,2988496.032,5.365,-0.03829801,4.491203903,3.388154511,-0.478976194,-0.065549862,2.720405425,-2.328528199,1.498682021,-1.435981606,0.162890005,361,3
-1993170.961,3125881.749,1.252333333,0.258151978,2.128411598,-0.181140476,-0.506033935,-0.076897559,2.696765905,-2.122108552,-1.724778508,1.355584068,0.387398911,528,1
-2284114.692,2551214.012,6.69,0.01574548,0.180954149,2.332717459,-0.388111833,0.127141224,2.696730748,-1.453816531,2.871410849,1.404013045,0.044986938,158,3
-2184166.556,2720171.655,8.65,0.150698638,5.461632409,2.586872704,0.595384321,-0.023178334,2.670456801,-1.75549517,1.971605432,0.664119071,1.256167606,292,2
717359.4743,849601.1971,1.335,-0.598556124,1.003946073,2.101163806,0.022691551,1.914050872,2.65710887,0.073947524,0.395471587,0.699121358,-1.190007751,4066,4
710995.5986,877583.1201,0.667,-0.5160945,1.65900931,2.08043867,0.064815518,1.793508066,2.628463772,0.213879076,-0.231951536,-1.367521135,-0.428322788,4066,4
1794047.336,1972053.06,0.933333333,-0.591883808,2.263447279,0.775967058,0.020995738,0.53260699,2.618769048,-0.659672421,1.099794053,-0.308840041,1.399424758,5531,2
-2287713.076,1920279.15,3.269333333,-0.218199991,-0.615725096,-0.301187778,0.181449951,0.415770297,2.615379538,0.176940168,0.120787409,-0.241405921,-1.364979025,118,1
-2287519.145,1920514.979,2.376,-0.218199991,-0.615725096,-0.301187778,0.181449951,0.415770297,2.615379538,0.176940168,0.120787409,-0.241405921,-1.364979025,118,1
-2170059.527,2712035.097,7.121,2.541501531,5.206048517,3.409338626,1.130348195,0.068567656,2.610567337,-1.893645697,-0.317224353,0.353359758,1.379735342,292,2
2044109.839,2329652.341,1.758333333,-0.498741333,0.887403871,1.090126379,0.2599495,0.019374356,2.60851262,-0.934776974,3.086039042,-1.100152737,-0.891534459,5865,2
-2256776.47,2006312.615,2.002,-0.033213036,-0.484897174,-0.13377762,-0.950490199,0.82501958,2.602049187,0.411974892,-1.028664348,1.068079312,-0.883687829,152,1
-2256611.2,2006719.012,1.718333333,-0.033213036,-0.484897174,-0.13377762,-0.950490199,0.82501958,2.602049187,0.411974892,-1.028664348,1.068079312,-0.883687829,152,1
2116466.975,2391381.777,0.414,-0.518045665,1.274605032,0.80111511,0.148871813,-0.031065616,2.575459232,-1.357213293,3.184016311,0.053414507,-1.380330798,5932,5
1364370.102,1043819.164,11.64666667,-0.6018681,1.214957687,1.110949809,0.026754051,1.888188147,2.570927882,0.118759756,1.276786455,1.342868758,-0.384730322,4926,4
-2109911.876,2965246.63,17.56333333,0.027940101,2.284899953,2.963097757,0.665621633,-0.040612747,2.565079746,-2.305406765,2.044859877,0.850496423,1.135846561,361,3
-2150430.382,2772565.205,5.055,-0.15700563,5.912525952,2.990903055,-0.488982104,-0.095552708,2.561637499,-1.741003151,0.362974675,0.180664991,-1.368220552,326,3
-1992840.811,3117121.192,5.34,-0.23799217,1.10866196,-0.353799738,1.238138819,-0.111249664,2.537962392,-2.042072235,-1.697879731,-1.244074288,0.739911008,528,1
2038565.567,2332830.056,4.006666667,0.024607569,1.007933138,1.087521611,0.32324902,0.002656411,2.503943389,-0.930999362,3.333762039,0.846345024,1.138998451,5865,2
-2101091.889,2894450.948,10.34,0.113833406,3.062029595,4.280619033,0.736082664,-0.175168359,2.502239846,-2.110556919,0.80355513,-1.393085446,0.392282348,360,4
-1991016.082,3115863.646,1.247333333,-0.085835168,1.314066092,-0.382117742,0.597760783,-0.091268599,2.495337768,-2.021679259,-1.547469223,0.328108176,1.386254681,528,1
-2160208.933,2738469.273,6.843333333,2.494022271,2.120275723,4.400058528,-1.954847156,-0.002050674,2.487662599,-1.537777401,1.605213627,0.453124323,-1.302484194,292,2
1148460.523,1451803.368,2.39,5.772463826,2.003322938,1.899232764,-1.243443775,0.170908315,2.476562764,0.654186193,1.164635414,-1.214809413,-0.739952145,4667,2
-2291238.75,2030895.283,1.096,0.128263391,1.663741475,0.558073654,0.300399041,0.756888263,2.474402565,0.198766199,1.215794022,-1.442947338,0.037513058,86,4
-2244020.987,1936927.857,1.28,-0.180953763,2.156802896,-0.356823918,-1.807844788,0.818633246,2.473489267,0.201197144,0.340474514,1.277587498,-0.556093619,151,5
-2113785.591,2845156.749,5.07,1.31930845,4.350514222,7.293124464,0.596020475,-0.254794629,2.458192097,-2.070739792,1.831029122,0.780936553,1.185626943,327,4
715495.8075,851899.4093,2.011666667,-0.601299874,0.102527514,2.11436452,0.020357855,1.909930972,2.456629192,0.086084491,0.395471587,0.399514205,1.3665425,4066,4
1361412.764,1042302.035,0.728333333,-0.60258786,1.721838107,1.112394496,0.023316271,1.885323087,2.451026321,0.136362512,1.271327703,1.388889211,-0.182156036,4926,4
-1992721.607,3127342.613,1.226666667,-0.079599107,3.08360273,-0.207301168,-0.249616167,-0.110078969,2.448954024,-2.150466488,-1.724778508,0.496330815,-1.286693768,528,1
-2198081.159,2691402.389,9.705333333,1.224308232,4.198629092,3.478830767,2.356326441,0.082289013,2.446091487,-1.92680376,1.119156031,1.36400765,-0.308236587,259,2
826888.6881,871470.7274,1.32,-0.491433515,-0.178010212,2.245239895,0.274904517,1.880751414,2.436853414,0.107200049,0.763487415,1.006001908,-0.95162154,4198,1
827125.4165,873847.7794,0.630666667,-0.500609881,-0.161617118,2.252835122,0.066923836,1.872351082,2.428651277,0.106426604,0.496109474,1.255058535,-0.602929679,4198,1
2063812.729,2368322.695,0.742666667,-0.493235659,1.961272406,1.132003978,0.059632902,-0.106928998,2.427580185,-0.940972615,1.817320212,0.008533338,1.428505665,5898,5
1270646.898,2210232.82,1.973666667,-0.482972614,2.232190666,0.67689479,-0.029024009,-0.2250238,2.407154375,-1.177321713,1.571535133,-0.146112947,-1.37659452,4840,5
-2130734.956,2880190.497,7.714666667,0.115337773,2.667364989,2.951144867,-0.287755822,-0.025700884,2.402359754,-2.162746354,1.708262513,-1.284895307,-0.620475377,360,4
1354485.604,563468.268,0.332,-0.584024668,-0.193646295,1.541965236,0.017650741,2.592765321,2.390416933,0.420783941,-0.305928684,-0.044803019,1.428553166,4887,2
-1994049.655,3119195.187,4.053666667,-0.045387984,2.291489073,-0.307697339,0.902738817,-0.117007964,2.360419892,-2.045185396,-1.697879731,-0.929883856,1.103759362,528,1
1942256.856,2521494.635,2.374,0.537156073,0.599041211,0.850605151,1.254601245,-0.697827621,2.351322458,-0.728853046,0.870173725,-1.243163339,0.741426226,5702,4
1553148.751,1330865.424,3.306,-0.575441482,0.465775674,1.403459926,0.057025195,1.433357929,2.351304878,-0.057241182,0.254756268,-0.875636912,1.146155597,5160,5
-1979028.336,3132575.296,1.430333333,-0.233743006,1.236380104,-0.173198723,-0.002058791,-0.073919967,2.330896648,-2.218716229,-1.247234515,-1.437135402,-0.104357931,561,5
-2101652.423,2896772.261,4.663333333,0.734563669,2.601184512,4.133971218,-0.753182546,-0.145496584,2.320060511,-2.242259102,0.80355513,-0.755763112,1.226163579,360,4
1907196.712,2279819.569,2.11,-0.205072175,0.066026426,1.175473981,0.039038898,-0.100735463,2.319761652,-0.758521721,1.120607412,1.323954992,0.488458678,5633,5
1233958.795,853620.1762,1.345,-0.600237249,0.495756284,1.319578669,0.016612616,2.036830906,2.30715165,0.356783306,-0.898879237,-1.173437622,-0.799678252,4726,1
1155631.691,1444443.414,1.206,-0.376004143,2.877321021,1.761712883,2.048951445,0.342051217,2.301970699,0.06551874,0.805289764,-0.575676604,1.317043034,4667,2
